"module name","licenses","repository","licenseUrl","parents"
"@ampproject/toolbox-core@2.0.0","Apache-2.0","https://github.com/ampproject/amp-toolbox","https://github.com/ampproject/amp-toolbox/raw/master/LICENSE","kiskba"
"@ampproject/toolbox-optimizer@2.0.0","Apache-2.0","https://github.com/ampproject/amp-toolbox","https://github.com/ampproject/amp-toolbox/raw/master/LICENSE","kiskba"
"@ampproject/toolbox-runtime-version@2.0.0","Apache-2.0","https://github.com/ampproject/amp-toolbox","https://github.com/ampproject/amp-toolbox/raw/master/LICENSE","kiskba"
"@ampproject/toolbox-script-csp@2.0.0","Apache-2.0","https://github.com/ampproject/amp-toolbox","https://github.com/ampproject/amp-toolbox/raw/master/LICENSE","kiskba"
"@ampproject/toolbox-validator-rules@2.0.0","Apache-2.0","https://github.com/ampproject/amp-toolbox","https://github.com/ampproject/amp-toolbox/raw/master/LICENSE","kiskba"
"@babel/code-frame@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-code-frame","https://github.com/babel/babel/tree/master/packages/babel-code-frame/raw/master/LICENSE","kiskba"
"@babel/core@7.7.2","MIT","https://github.com/babel/babel/tree/master/packages/babel-core","https://github.com/babel/babel/tree/master/packages/babel-core/raw/master/LICENSE","kiskba"
"@babel/core@7.8.7","MIT","https://github.com/babel/babel/tree/master/packages/babel-core","https://github.com/babel/babel/tree/master/packages/babel-core/raw/master/LICENSE","istanbul-lib-instrument:kiskba"
"@babel/generator@7.8.8","MIT","https://github.com/babel/babel/tree/master/packages/babel-generator","https://github.com/babel/babel/tree/master/packages/babel-generator/raw/master/LICENSE","kiskba"
"@babel/helper-annotate-as-pure@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-annotate-as-pure","https://github.com/babel/babel/tree/master/packages/babel-helper-annotate-as-pure/raw/master/LICENSE","kiskba"
"@babel/helper-builder-binary-assignment-operator-visitor@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-builder-binary-assignment-operator-visitor","https://github.com/babel/babel/tree/master/packages/babel-helper-builder-binary-assignment-operator-visitor/raw/master/LICENSE","kiskba"
"@babel/helper-builder-react-jsx@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-builder-react-jsx","https://github.com/babel/babel/tree/master/packages/babel-helper-builder-react-jsx/raw/master/LICENSE","kiskba"
"@babel/helper-call-delegate@7.8.7","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-call-delegate","https://github.com/babel/babel/tree/master/packages/babel-helper-call-delegate/raw/master/LICENSE","kiskba"
"@babel/helper-create-class-features-plugin@7.8.6","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-create-class-features-plugin","https://github.com/babel/babel/tree/master/packages/babel-helper-create-class-features-plugin/raw/master/LICENSE","kiskba"
"@babel/helper-create-regexp-features-plugin@7.8.8","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","kiskba"
"@babel/helper-define-map@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-define-map","https://github.com/babel/babel/tree/master/packages/babel-helper-define-map/raw/master/LICENSE","kiskba"
"@babel/helper-explode-assignable-expression@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-explode-assignable-expression","https://github.com/babel/babel/tree/master/packages/babel-helper-explode-assignable-expression/raw/master/LICENSE","kiskba"
"@babel/helper-function-name@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-function-name","https://github.com/babel/babel/tree/master/packages/babel-helper-function-name/raw/master/LICENSE","kiskba"
"@babel/helper-get-function-arity@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-get-function-arity","https://github.com/babel/babel/tree/master/packages/babel-helper-get-function-arity/raw/master/LICENSE","kiskba"
"@babel/helper-hoist-variables@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-hoist-variables","https://github.com/babel/babel/tree/master/packages/babel-helper-hoist-variables/raw/master/LICENSE","kiskba"
"@babel/helper-member-expression-to-functions@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-member-expression-to-functions","https://github.com/babel/babel/tree/master/packages/babel-helper-member-expression-to-functions/raw/master/LICENSE","kiskba"
"@babel/helper-module-imports@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-module-imports","https://github.com/babel/babel/tree/master/packages/babel-helper-module-imports/raw/master/LICENSE","kiskba"
"@babel/helper-module-transforms@7.8.6","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-module-transforms","https://github.com/babel/babel/tree/master/packages/babel-helper-module-transforms/raw/master/LICENSE","kiskba"
"@babel/helper-optimise-call-expression@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-optimise-call-expression","https://github.com/babel/babel/tree/master/packages/babel-helper-optimise-call-expression/raw/master/LICENSE","kiskba"
"@babel/helper-plugin-utils@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-plugin-utils","https://github.com/babel/babel/tree/master/packages/babel-helper-plugin-utils/raw/master/LICENSE","kiskba"
"@babel/helper-regex@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-regex","https://github.com/babel/babel/tree/master/packages/babel-helper-regex/raw/master/LICENSE","kiskba"
"@babel/helper-remap-async-to-generator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-remap-async-to-generator","https://github.com/babel/babel/tree/master/packages/babel-helper-remap-async-to-generator/raw/master/LICENSE","kiskba"
"@babel/helper-replace-supers@7.8.6","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-replace-supers","https://github.com/babel/babel/tree/master/packages/babel-helper-replace-supers/raw/master/LICENSE","kiskba"
"@babel/helper-simple-access@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-simple-access","https://github.com/babel/babel/tree/master/packages/babel-helper-simple-access/raw/master/LICENSE","kiskba"
"@babel/helper-split-export-declaration@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-split-export-declaration","https://github.com/babel/babel/tree/master/packages/babel-helper-split-export-declaration/raw/master/LICENSE","kiskba"
"@babel/helper-wrap-function@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-wrap-function","https://github.com/babel/babel/tree/master/packages/babel-helper-wrap-function/raw/master/LICENSE","kiskba"
"@babel/helpers@7.8.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-helpers","https://github.com/babel/babel/tree/master/packages/babel-helpers/raw/master/LICENSE","kiskba"
"@babel/highlight@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-highlight","https://github.com/babel/babel/tree/master/packages/babel-highlight/raw/master/LICENSE","kiskba"
"@babel/parser@7.8.8","MIT","https://github.com/babel/babel/tree/master/packages/babel-parser","https://github.com/babel/babel/tree/master/packages/babel-parser/raw/master/LICENSE","kiskba"
"@babel/plugin-proposal-async-generator-functions@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-async-generator-functions","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-async-generator-functions/raw/master/LICENSE","kiskba"
"@babel/plugin-proposal-class-properties@7.7.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-class-properties","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-class-properties/raw/master/LICENSE","kiskba"
"@babel/plugin-proposal-dynamic-import@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-dynamic-import","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-dynamic-import/raw/master/LICENSE","kiskba"
"@babel/plugin-proposal-json-strings@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-json-strings","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-json-strings/raw/master/LICENSE","kiskba"
"@babel/plugin-proposal-nullish-coalescing-operator@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-nullish-coalescing-operator","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-nullish-coalescing-operator/raw/master/LICENSE","kiskba"
"@babel/plugin-proposal-object-rest-spread@7.6.2","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-object-rest-spread","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-object-rest-spread/raw/master/LICENSE","kiskba"
"@babel/plugin-proposal-optional-catch-binding@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-optional-catch-binding","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-optional-catch-binding/raw/master/LICENSE","kiskba"
"@babel/plugin-proposal-optional-chaining@7.7.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-optional-chaining","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-optional-chaining/raw/master/LICENSE","kiskba"
"@babel/plugin-proposal-unicode-property-regex@7.8.8","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-unicode-property-regex","https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-unicode-property-regex/raw/master/LICENSE","kiskba"
"@babel/plugin-syntax-async-generators@7.8.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators/raw/master/LICENSE","kiskba"
"@babel/plugin-syntax-bigint@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-bigint","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-bigint/raw/master/LICENSE","kiskba"
"@babel/plugin-syntax-dynamic-import@7.2.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import/raw/master/LICENSE","kiskba"
"@babel/plugin-syntax-dynamic-import@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import/raw/master/LICENSE","@babel/plugin-proposal-dynamic-import:kiskba"
"@babel/plugin-syntax-json-strings@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-json-strings","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-json-strings/raw/master/LICENSE","kiskba"
"@babel/plugin-syntax-jsx@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-jsx","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-jsx/raw/master/LICENSE","kiskba"
"@babel/plugin-syntax-nullish-coalescing-operator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-nullish-coalescing-operator","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-nullish-coalescing-operator/raw/master/LICENSE","kiskba"
"@babel/plugin-syntax-object-rest-spread@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread/raw/master/LICENSE","kiskba"
"@babel/plugin-syntax-optional-catch-binding@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-catch-binding","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-catch-binding/raw/master/LICENSE","kiskba"
"@babel/plugin-syntax-optional-chaining@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining/raw/master/LICENSE","kiskba"
"@babel/plugin-syntax-top-level-await@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-top-level-await","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-top-level-await/raw/master/LICENSE","kiskba"
"@babel/plugin-syntax-typescript@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-typescript","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-typescript/raw/master/LICENSE","kiskba"
"@babel/plugin-transform-arrow-functions@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-arrow-functions","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-arrow-functions/raw/master/LICENSE","kiskba"
"@babel/plugin-transform-async-to-generator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-async-to-generator","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-async-to-generator/raw/master/LICENSE","kiskba"
"@babel/plugin-transform-block-scoped-functions@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-block-scoped-functions","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-block-scoped-functions/raw/master/LICENSE","kiskba"
"@babel/plugin-transform-block-scoping@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-block-scoping","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-block-scoping/raw/master/LICENSE","kiskba"
"@babel/plugin-transform-classes@7.8.6","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-classes","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-classes/raw/master/LICENSE","kiskba"
"@babel/plugin-transform-computed-properties@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-computed-properties","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-computed-properties/raw/master/LICENSE","kiskba"
"@babel/plugin-transform-destructuring@7.8.8","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-destructuring","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-destructuring/raw/master/LICENSE","kiskba"
"@babel/plugin-transform-dotall-regex@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-dotall-regex","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-dotall-regex/raw/master/LICENSE","kiskba"
"@babel/plugin-transform-duplicate-keys@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-duplicate-keys","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-duplicate-keys/raw/master/LICENSE","kiskba"
"@babel/plugin-transform-exponentiation-operator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-exponentiation-operator","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-exponentiation-operator/raw/master/LICENSE","kiskba"
"@babel/plugin-transform-for-of@7.8.6","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-for-of","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-for-of/raw/master/LICENSE","kiskba"
"@babel/plugin-transform-function-name@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-function-name","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-function-name/raw/master/LICENSE","kiskba"
"@babel/plugin-transform-literals@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-literals","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-literals/raw/master/LICENSE","kiskba"
